04:10:26 PM , July 18, 2024
Residual Gas Analyzer Software 
Software Version, 3.218.004

Histogram Scan Setup:

Data Points in Scan, 65 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 1
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.00E-004 
Filament Current, 1.00, mAmps


1,   2.69E-009 
2,   1.74E-008 
3,   1.93E-009 
4,   1.82E-010 
5,   1.11E-010 
6,   9.54E-011 
7,   6.36E-012 
8,   1.03E-010 
9,   2.12E-012 
10,   6.04E-011 
11,   7.85E-011 
12,   6.65E-010 
13,   1.38E-010 
14,   1.89E-010 
15,   2.15E-010 
16,   4.50E-009 
17,   3.03E-008 
18,   1.19E-007 
19,   4.02E-009 
20,   7.07E-010 
21,   8.91E-011 
22,   8.06E-011 
23,   5.41E-011 
24,   1.48E-011 
25,   4.98E-011 
26,   1.40E-010 
27,   1.05E-010 
28,   3.25E-009 
29,   5.80E-010 
30,   5.02E-010 
31,   1.27E-011 
32,   5.87E-009 
33,   6.74E-010 
34,   9.86E-011 
35,  -1.48E-011 
36,  -6.36E-012 
37,  -6.47E-011 
38,   1.35E-010 
39,   1.38E-010 
40,   5.41E-011 
41,   2.01E-010 
42,  -1.27E-011 
43,   1.20E-010 
44,   4.83E-009 
45,   4.35E-010 
46,   8.70E-011 
47,   5.62E-011 
48,   6.15E-011 
49,   1.91E-011 
50,  -1.57E-010 
51,   6.68E-011 
52,   5.30E-012 
53,   3.61E-011 
54,  -1.05E-010 
55,   3.18E-011 
56,  -3.18E-011 
57,   2.65E-011 
58,   3.61E-011 
59,   1.61E-010 
60,   2.38E-010 
61,   3.71E-011 
62,   7.74E-011 
63,  -4.24E-012 
64,   2.06E-010 
65,   4.14E-011 
