03:47:11 PM , July 10, 2024
Residual Gas Analyzer Software 
Software Version, 3.218.004

Histogram Scan Setup:

Data Points in Scan, 65 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 1
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.00E-004 
Filament Current, 1.00, mAmps


1,   2.99E-009 
2,   2.81E-008 
3,   2.39E-009 
4,   3.17E-010 
5,   9.01E-011 
6,   4.98E-011 
7,   1.17E-010 
8,   7.95E-011 
9,   6.26E-011 
10,   3.16E-010 
11,   2.35E-010 
12,   5.89E-010 
13,   2.62E-010 
14,   1.68E-010 
15,   3.27E-010 
16,   4.64E-009 
17,   3.21E-008 
18,   1.27E-007 
19,   4.95E-009 
20,   5.86E-010 
21,   3.83E-010 
22,   2.50E-010 
23,   1.76E-010 
24,   1.94E-010 
25,   1.86E-010 
26,   4.14E-010 
27,   1.35E-010 
28,   3.19E-009 
29,   4.03E-010 
30,   5.32E-010 
31,   2.45E-010 
32,   5.73E-009 
33,   6.88E-010 
34,   2.35E-010 
35,   1.96E-010 
36,  -7.42E-011 
37,   1.11E-010 
38,   1.28E-010 
39,   2.65E-011 
40,   8.48E-011 
41,   8.70E-011 
42,   1.48E-010 
43,   1.42E-010 
44,   4.53E-009 
45,   6.79E-010 
46,   1.36E-010 
47,   1.50E-010 
48,   2.06E-010 
49,  -5.41E-011 
50,   1.04E-010 
51,   1.89E-010 
52,   1.17E-010 
53,   1.97E-010 
54,   7.85E-011 
55,   9.97E-011 
56,   4.03E-011 
57,   1.61E-010 
58,   7.53E-011 
59,   1.06E-010 
60,   1.61E-010 
61,   1.55E-010 
62,   3.78E-010 
63,   1.21E-010 
64,   2.77E-010 
65,   7.42E-011 
