06:26:14 PM , June 26, 2024
Residual Gas Analyzer Software 
Software Version, 3.218.004

Histogram Scan Setup:

Data Points in Scan, 65 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 1
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.00E-004 
Filament Current, 1.00, mAmps


1,   4.39E-010 
2,   4.02E-009 
3,   8.88E-010 
4,   1.89E-010 
5,   1.04E-010 
6,   2.09E-010 
7,   6.47E-011 
8,   2.12E-010 
9,   9.33E-011 
10,   9.76E-011 
11,  -5.30E-012 
12,   5.01E-010 
13,  -2.23E-011 
14,   1.98E-010 
15,   1.56E-010 
16,   1.19E-009 
17,   4.17E-009 
18,   1.59E-008 
19,   1.82E-009 
20,   3.63E-010 
21,   1.99E-010 
22,   1.27E-011 
23,   1.87E-010 
24,   1.44E-010 
25,   8.91E-011 
26,   2.55E-010 
27,   1.33E-010 
28,   1.15E-009 
29,   3.18E-010 
30,   3.29E-010 
31,   2.25E-010 
32,   2.16E-009 
33,   4.35E-010 
34,   2.11E-010 
35,   9.33E-011 
36,   8.59E-011 
37,   1.02E-010 
38,   1.94E-010 
39,   4.24E-011 
40,   5.62E-011 
41,   2.23E-010 
42,   2.70E-010 
43,   2.28E-010 
44,   1.92E-009 
45,   2.04E-010 
46,   2.17E-010 
47,   3.44E-010 
48,   3.50E-011 
49,   1.10E-010 
50,   9.86E-011 
51,   1.04E-010 
52,   1.82E-010 
53,   6.57E-011 
54,   1.13E-010 
55,   1.12E-010 
56,   1.93E-010 
57,  -5.73E-011 
58,   2.12E-012 
59,   1.41E-010 
60,   3.03E-010 
61,   1.80E-011 
62,   1.77E-010 
63,   2.13E-010 
64,   2.43E-010 
65,   4.88E-011 
